	verse	poem_name	count_syllabs	syllabs_order	is_true_syllabic
75	Веселый Авель от Бога милость принял,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[3, 5, 6, 8, 10]	False
76	А егоже Господь дары и всесожжение внял.	О гонении на  Святую церковь, Краеграние14 сие по буквам	15	[1, 4, 6, 8, 9, 14]	False
77	Но внегда16 молитвы Авель Богу воздал,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 3, 6, 8, 10]	False
78	А Каин его тщателно17 убити помышлял.	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[1, 3, 5, 8, 11]	False
79	Но потом брата оного умертвив	О гонении на  Святую церковь, Краеграние14 сие по буквам	11	[1, 3, 5, 8]	False
80	И тыцаньми своими себе, окаянный, показнив,	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[1, 4, 7, 9, 13]	False
81	И жертвы оного омерзив,	О гонении на  Святую церковь, Краеграние14 сие по буквам	9	[1, 3, 6]	False
82	Мерзостным убийством сам ся погубив.	О гонении на  Святую церковь, Краеграние14 сие по буквам	11	[3, 6, 7, 8]	False
83	Родоначалие убийством первие погубися,	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[6, 9, 12]	False
84	Иже кровь праведнаго, яко вода, пролиася.	О гонении на  Святую церковь, Краеграние14 сие по буквам	15	[2, 3, 7, 9, 11]	False
85	Иже таковы Каиновы внуки,	О гонении на  Святую церковь, Краеграние14 сие по буквам	11	[2, 5, 9]	False
86	Выникше18 во останошныя веки,	О гонении на  Святую церковь, Краеграние14 сие по буквам	11	[3, 4, 9]	False
87	Иже снопы злобы на жертву возлагают,	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[2, 4, 6, 7, 9]	False
88	Часто души неправедно погубляют.	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[2, 4, 8]	False
89	И похвалою людскою себе улучили,	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[1, 5, 8, 10]	False
90	Христово величество имя себе улучили,	О гонении на  Святую церковь, Краеграние14 сие по буквам	15	[3, 7, 9, 11]	False
91	Злыя далеко суть от святаго пути,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[2, 5, 6, 7, 10]	False
92	От беззаконник навыкли пребыти.	О гонении на  Святую церковь, Краеграние14 сие по буквам	11	[1, 5, 8]	False
93	Радостную славу на земле коренят,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[4, 6, 7, 9]	False
94	О божественней славе радети не хотят.	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[1, 5, 7, 10, 11]	False
95	Собою нарекли на земле славы имяна,	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[3, 6, 7, 9, 11]	False
96	Та и память им смертная не может быти имена.	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[1, 2, 4, 5, 8, 9, 11, 13]	False
97	И грады и села тысящми собрали,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 3, 4, 6, 9]	False
98	За Христовы рабы дерзостно себе нарицали,	О гонении на  Святую церковь, Краеграние14 сие по буквам	15	[1, 4, 6, 9, 11]	False
99	И хотением болшую земную славу наследили,	О гонении на  Святую церковь, Краеграние14 сие по буквам	17	[1, 5, 8, 11, 13]	False
100	Но во дни и в нощи мамону стяжали,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 2, 3, 4, 6, 9]	False
101	И люди Божиа от них, яко класы, ся пожинали,	О гонении на  Святую церковь, Краеграние14 сие по буквам	17	[1, 3, 6, 7, 8, 10, 12, 13]	False
102	Иже своя враги во веки погубили.	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[2, 4, 6, 7, 9]	False
103	И от нас любят приняти частую оферу19,	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[1, 2, 3, 5, 8, 11]	False
104	И повелевают держати свою веру,	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[1, 6, 9, 11]	False
105	Без ереси и греха ему20 являти	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 4, 5, 7, 9]	False
106	И послушанием оного почитати.	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[1, 6, 9]	False
107	За послушание царство нам даруют,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 6, 8, 9]	False
108	За преслушание же муки уготовуют.	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[1, 6, 7, 9]	False
109	Яко Авель терпит от убийцы брата, –	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[2, 4, 6, 7, 10]	False
110	И будет молитва наша пред Вышним прията,	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[1, 3, 6, 8, 9, 11]	False
111	Да любомудрия держит с Каином Рим,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 6, 8, 11]	False
112	И будут оне яко скорошедший дым.	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 3, 5, 7, 11]	False
113	Авеля восточную благую церковь именуем,	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[3, 7, 10, 12]	False
114	Каина же губителную западную церковь нарекуем.	О гонении на  Святую церковь, Краеграние14 сие по буквам	19	[3, 4, 9, 13, 15]	False
115	Да того ради нас за Христа избивают,	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[1, 3, 5, 6, 7, 9]	False
116	Против закона и канона писание издавают.	О гонении на  Святую церковь, Краеграние14 сие по буквам	17	[2, 5, 6, 9, 13]	False
117	Сего их учения прекословна отвращаемся,	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[2, 3, 7, 11]	False
118	Во благочестивой вере утвержаемся.	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[1, 6, 8]	False
119	Слышите сия, боголюбивыя народы,	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[3, 5, 11]	False
120	Не приимайте словес еретических в своя роды.	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[1, 5, 7, 12, 14]	False
121	Ложь бо человечья с Богом не царствует,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 2, 6, 8, 9]	False
122	И леность неправедных скоро погибает.	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[1, 3, 7, 9]	False
123	Кто любить Христа, на прелесть21 не ходить	О гонении на  Святую церковь, Краеграние14 сие по буквам	11	[1, 3, 5, 6, 8, 9]	False
124	И терпение свое к нему принудить.	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 5, 7, 9]	False
125	Но в остатний век спасайся,	О гонении на  Святую церковь, Краеграние14 сие по буквам	8	[1, 4, 5]	False
126	И к папьскому собору не прилучайся,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 4, 7, 8]	False
127	И страхом уловляем не буди,	О гонении на  Святую церковь, Краеграние14 сие по буквам	10	[1, 3, 7, 8]	False
128	И доброту Христову в сердцы своем нуди.	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[1, 4, 7, 9, 11]	False
129	Веси22, кто тя кровию своею откупил,	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[2, 3, 4, 7, 10]	False
130	Да бых к противному от него не отступил,	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[1, 2, 6, 7, 9, 10]	False
131	Цену крови своей истинно за тя дал	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[2, 4, 6, 9, 10, 11]	False
132	И за избавление наше и душу свою отдал.	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[1, 2, 7, 9, 10, 12, 14]	False
133	Аще и от единых святых соборов прияша,	О гонении на  Святую церковь, Краеграние14 сие по буквам	15	[2, 3, 4, 7, 9, 12]	False
134	Но много благолепия богословнаго отяша.	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[1, 3, 8, 13]	False
135	Онаго же Бога чтут и в него веруют,	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[3, 4, 6, 7, 8, 10]	False
136	Но не подобна Бога в Троицы разумеют.23	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[1, 2, 5, 7, 10]	False
137	Поминай милость твоего гроба,	О гонении на  Святую церковь, Краеграние14 сие по буквам	10	[3, 5, 8]	False
138	В немже изтлевает твоя земная оздоба24.	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[2, 6, 8, 11]	False
139	Украшенных бо словес не приимай в слухи,	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[4, 5, 7, 8, 11]	False
140	Да не бы твое врази25 не имели утехи.	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[1, 2, 3, 5, 7, 8, 11]	False
141	И красная сего мира мудрость Богу неприятна,	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[1, 4, 6, 8, 10, 12]	False
142	Но истинно зело злостию превратна,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 4, 6, 9]	False
143	Ееже латинские учители имеют,	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[3, 7, 11]	False
144	Злокознием души наши ловитвою26 веют.	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[4, 6, 8, 12]	False
145	Изволим, братие, держати святую простоту,	О гонении на  Святую церковь, Краеграние14 сие по буквам	15	[3, 6, 9, 12]	False
146	Восточныя церкви божественную доброту,	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[4, 6, 11]	False
147	Аще богословнейшии житие преходят,	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[2, 8, 11]	False
148	Но по воле его умы своя водят,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 2, 4, 6, 8, 10]	False
149	А человеча мудрость Богу противна,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 5, 7, 9]	False
150	Превратна течением и злолстивна.	О гонении на  Святую церковь, Краеграние14 сие по буквам	11	[3, 7, 8]	False
151	Но святый Павел, буйством27 ея нарекше,28	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 3, 5, 7, 9]	False
152	Косну и всестрастну ея в делесех обретше,	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[2, 3, 6, 8, 11]	False
153	За нею же жидовское и агарянское племя ходит,	О гонении на  Святую церковь, Краеграние14 сие по буквам	18	[1, 3, 4, 8, 9, 14, 16]	False
154	Яко жена в безумие их множицею приводит.	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[2, 4, 8, 9, 13]	False
155	Латина ею всех прелыцают,	О гонении на  Святую церковь, Краеграние14 сие по буквам	10	[3, 5, 6]	False
156	А от Божией мудрости всех оболыцают.	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[1, 2, 5, 8, 9]	False
157	Но, любимии друзи, все благоверныя,	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[1, 5, 7, 8]	False
158	Аще и творят вам многия пакости зловерныя,	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[2, 3, 5, 6, 9, 12]	False
159	Не напивайтеся от горкаго студенца29,	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[1, 6, 7, 10]	False
160	Хвалите Бога даже и до конца,	О гонении на  Святую церковь, Краеграние14 сие по буквам	11	[3, 5, 7, 8, 9]	False
161	Восточныя церкви разуму учитеся,	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[4, 6, 9]	False
162	От тоя же любви благоразумия научитеся.	О гонении на  Святую церковь, Краеграние14 сие по буквам	17	[1, 3, 4, 6, 12]	False
163	Рачители вы есте сего мира света,	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[4, 5, 7, 9, 11]	False
164	Отрицайтеся папежскаго злокозненаго навета.	О гонении на  Святую церковь, Краеграние14 сие по буквам	17	[5, 9, 14]	False
165	Сих же училища ересь разсевают,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 2, 6, 8]	False
166	Тако благочестиа еретичеством насевают,	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[2, 7, 12]	False
167	Избави нас, Господи, и не дай во многия беды впасти,	О гонении на  Святую церковь, Краеграние14 сие по буквам	18	[3, 4, 7, 8, 9, 10, 11, 14, 16]	False
168	И сокруши римския гордыя власти.	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 4, 7, 10]	False
169	Аще и согрешившаго спасл еси Лота,30	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[2, 3, 8, 9, 11]	False
170	Изсуши праведным солнцем греховныя болота.	О гонении на  Святую церковь, Краеграние14 сие по буквам	15	[3, 6, 8, 12]	False
171	Умиление же есть Божественное Писание,	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[5, 6, 7, 12]	False
172	Поздно любомудрецем прочитание.	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[2, 7]	False
173	Писмо31 богодухновенно	О гонении на  Святую церковь, Краеграние14 сие по буквам	8	[2]	False
174	И любящим его благо и спасенно.	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 4, 6, 8, 9]	False
175	Книги духовныя – разумныя цветы,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[2, 6, 10]	False
176	Научают воздати Христовы обеты.	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[4, 7, 10]	False
177	Книги, аки солнцем, душевныя мысли освещают,	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[2, 4, 6, 10, 12]	False
178	Чистое писание грехов темности убеляют.	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[3, 7, 9, 12]	False
179	Книги юных премудроствено творят,	О гонении на  Святую церковь, Краеграние14 сие по буквам	11	[2, 4, 9]	False
180	Простых в страх Божий приводят.	О гонении на  Святую церковь, Краеграние14 сие по буквам	8	[2, 3, 5]	False
181	Ни Платон, ни Пифагор, ниже Аристотель –	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[1, 3, 4, 7, 9]	False
182	Не обретается из них духовный сказатель,	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[1, 6, 7, 8, 11]	False
183	Ис которых латини хвалению поучают	О гонении на  Святую церковь, Краеграние14 сие по буквам	15	[1, 4, 7, 11]	False
184	И безумную ересь в себе полагают.	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[1, 5, 7, 9]	False
185	Христа ради, молю вас, на прелесть не ходите,	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[2, 4, 6, 7, 8, 10, 11]	False
186	А ни чада своя на зло не водите.	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 2, 4, 6, 7, 8, 9]	False
187	О Господе братиа, христианския чада,	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[1, 4, 7, 12]	False
188	Избавите себя от темнаго ада!	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[4, 6, 7, 10]	False
189	Не в научениах латинских веру разумевайте,	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[1, 6, 9, 11]	False
190	Их вредами от православия не отступайте,	О гонении на  Святую церковь, Краеграние14 сие по буквам	15	[1, 4, 5, 10, 11]	False
191	Не погубите святую боголепную веру,	О гонении на  Святую церковь, Краеграние14 сие по буквам	15	[1, 5, 8, 13]	False
192	Не приимайте латинскую сугубую меру.	О гонении на  Святую церковь, Краеграние14 сие по буквам	15	[1, 5, 9, 13]	False
193	Много злата на прелесть давают	О гонении на  Святую церковь, Краеграние14 сие по буквам	10	[2, 4, 5, 7]	False
194	И душевное благоразумие муками растерзают.	О гонении на  Святую церковь, Краеграние14 сие по буквам	18	[1, 5, 11, 14]	False
195	Егда вознесеся Бог на небеса,	О гонении на  Святую церковь, Краеграние14 сие по буквам	11	[2, 6, 7, 8]	False
196	И тогда яви нам многия чюдеса.	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 3, 5, 6, 9]	False
197	3 горы масличныя ко Отцу взыде,	О гонении на  Святую церковь, Краеграние14 сие по буквам	11	[2, 6, 7, 9]	False
198	Такоже с плотию судити нас приидет.	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[3, 6, 9, 10]	False
199	Тогда ученицы во вселенную проповедаша,	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[2, 6, 7, 11]	False
200	Народом и царем о нем возвестиша,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[3, 4, 6, 7, 8]	False
201	И в страны мира слово пронесеся,	О гонении на  Святую церковь, Краеграние14 сие по буквам	11	[1, 3, 5, 7]	False
202	И от лести к Богу народное множество обратися;	О гонении на  Святую церковь, Краеграние14 сие по буквам	17	[1, 2, 4, 6, 10, 13]	False
203	Всю землю на части себе пределиша	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 3, 4, 6, 8]	False
204	И Евангелием людей осветиша.	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 6, 8]	False
205	В них же бысть святый Андрей Первозванный,32	О гонении на  Святую церковь, Краеграние14 сие по буквам	11	[1, 2, 3, 5, 7]	False
206	От числа полка33 ученик Христовых избранный.	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[1, 3, 5, 8, 11]	False
207	Из Иерусалима в Византию дойде	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[1, 7, 11]	False
208	И оттуду паки в Россию прииде.	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 4, 6, 9]	False
209	Таже в град Киев по Днепру ходяше	О гонении на  Святую церковь, Краеграние14 сие по буквам	11	[2, 3, 5, 6, 8]	False
210	И посреде поган34 крест знаменоваше.	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 4, 6, 7]	False
211	На горах Киивских молитву сотворил,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[1, 3, 6, 9]	False
212	Дабы там Господь благодатию одарил,	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[2, 3, 5, 10]	False
213	Дабы было в России имя его величано,	О гонении на  Святую церковь, Краеграние14 сие по буквам	15	[2, 4, 7, 9, 11]	False
214	Христианьство им живущим даровано,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[4, 5, 8]	False
215	Иже о идолех были упражнены35	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[2, 3, 6, 8]	False
216	И во зловерии бесовском ослеплены,	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[1, 2, 6, 9]	False
217	Дабы бездушным престали служити,	О гонении на  Святую церковь, Краеграние14 сие по буквам	11	[2, 5, 8]	False
218	Но в православии благолепно сподобимся жити.	О гонении на  Святую церковь, Краеграние14 сие по буквам	16	[1, 6, 10, 14]	False
219	Вострубив начало, проповедь святую,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[3, 6, 9]	False
220	И проповеда в России святыню благую,	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[1, 5, 8, 11]	False
221	Честныя быстрины Христова учениа на полунощь36 принесе	О гонении на  Святую церковь, Краеграние14 сие по буквам	20	[3, 6, 9, 13, 14, 17]	False
222	И имя Христово пред всеми ясно изнесе.	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[1, 3, 6, 7, 9, 11]	False
223	И ныне хвалится полунощная страна,	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[1, 3, 6, 11]	False
224	Понеже их беззаконная вера предрана37	О гонении на  Святую церковь, Краеграние14 сие по буквам	14	[3, 4, 9, 11]	False
225	Христом, избавителем нашим,	О гонении на  Святую церковь, Краеграние14 сие по буквам	9	[2, 7]	False
226	Уже конец приведшим бывшим,	О гонении на  Святую церковь, Краеграние14 сие по буквам	9	[2, 4, 7]	False
227	Яко красуется святыми церквами	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[2, 6, 9]	False
228	И Богови служиши чистыми жертвами.	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[1, 4, 7, 10]	False
229	Поминайте жертвы апостол славных,	О гонении на  Святую церковь, Краеграние14 сие по буквам	11	[4, 6, 9]	False
230	Просвещенны от веков давных.	О гонении на  Святую церковь, Краеграние14 сие по буквам	9	[4, 5, 7]	False
231	Святое начало от них нам явлено,	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[3, 6, 7, 8, 9]	False
232	Яко от самого Бога повелено.	О гонении на  Святую церковь, Краеграние14 сие по буквам	12	[2, 3, 6, 8]	False
233	Честный граде Киев! В тебе вера возсия,	О гонении на  Святую церковь, Краеграние14 сие по буквам	13	[2, 4, 6, 8, 10]	False
